data;1THB;1USD;1AUD;1HKD;1CAD;1NZD;1SGD;1EUR;100HUF;1CHF;1GBP;1UAH;100JPY;1CZK;1DKK;100ISK;1NOK;1SEK;1HRK;1RON;1BGN;1TRY;1ILS;100CLP;1PHP;1MXN;1ZAR;1BRL;1MYR;1RUB;10000IDR;100INR;100KRW;1CNY;1XDR;nr tabeli;pelny numer tabeli
20190102;0.1166;3.7619;2.6393;0.4801;2.7608;2.5246;2.7601;4.3016;1.3353;3.8242;4.7737;0.1358;3.4523;0.1671;0.5762;3.2294;0.4343;0.4210;0.5800;0.9228;2.1994;0.7037;1.0027;0.5421;0.0716;0.1914;0.2597;0.9693;0.9093;0.0541;2.6034;5.3743;0.3360;0.5488;5.2232;1;001/A/NBP/2019;
20190103;0.1176;3.7827;2.6338;0.4829;2.7778;2.5123;2.7701;4.3030;1.3341;3.8343;4.7589;0.1375;3.5132;0.1672;0.5762;3.2208;0.4334;0.4189;0.5791;0.9224;2.2001;0.6893;1.0094;0.5429;0.0719;0.1926;0.2604;0.9981;0.9129;0.0548;2.6250;5.3885;0.3354;0.5503;5.2505;2;002/A/NBP/2019;
20190104;0.1176;3.7720;2.6585;0.4815;2.8057;2.5282;2.7706;4.3018;1.3390;3.8213;4.7803;0.1357;3.4919;0.1679;0.5760;3.2151;0.4357;0.4195;0.5787;0.9223;2.1995;0.6957;1.0142;0.5437;0.0719;0.1925;0.2670;1.0041;0.9121;0.0552;2.6433;5.4016;0.3359;0.5495;5.2592;3;003/A/NBP/2019;
20190107;0.1174;3.7575;2.6784;0.4795;2.8119;2.5388;2.7683;4.2989;1.3385;3.8245;4.7907;0.1351;3.4727;0.1682;0.5757;3.1891;0.4383;0.4201;0.5784;0.9218;2.1980;0.6978;1.0179;0.5516;0.0716;0.1932;0.2691;1.0116;0.9133;0.0558;2.6668;5.3780;0.3358;0.5483;5.2430;4;004/A/NBP/2019;
20190108;0.1171;3.7559;2.6778;0.4791;2.8294;2.5303;2.7648;4.3013;1.3384;3.8307;4.7952;0.1339;3.4497;0.1678;0.5760;3.1697;0.4398;0.4221;0.5789;0.9219;2.1993;0.6900;1.0142;0.5513;0.0716;0.1941;0.2685;1.0055;0.9121;0.0560;2.6554;5.3589;0.3338;0.5481;5.2346;5;005/A/NBP/2019;
20190109;0.1172;3.7509;2.6849;0.4785;2.8335;2.5336;2.7644;4.2989;1.3362;3.8282;4.7835;0.1335;3.4441;0.1678;0.5758;3.1402;0.4399;0.4201;0.5786;0.9201;2.1980;0.6806;1.0177;0.5513;0.0717;0.1939;0.2691;1.0101;0.9116;0.0560;2.6555;5.3115;0.3349;0.5494;5.2365;6;006/A/NBP/2019;
20190110;0.1170;3.7360;2.6836;0.4766;2.8241;2.5352;2.7641;4.3055;1.3381;3.8273;4.7680;0.1321;3.4556;0.1680;0.5767;3.1404;0.4410;0.4201;0.5797;0.9210;2.2013;0.6807;1.0179;0.5526;0.0716;0.1940;0.2682;1.0150;0.9118;0.0557;2.6581;5.2939;0.3339;0.5506;5.2360;7;007/A/NBP/2019;
20190111;0.1168;3.7289;2.6916;0.4755;2.8271;2.5478;2.7599;4.2957;1.3365;3.7945;4.7550;0.1326;3.4415;0.1679;0.5755;3.1196;0.4408;0.4198;0.5784;0.9181;2.1964;0.6854;1.0150;0.5517;0.0717;0.1954;0.2700;1.0050;0.9104;0.0557;2.6550;5.2870;0.3344;0.5532;5.2054;8;008/A/NBP/2019;
20190114;0.1172;3.7458;2.6918;0.4776;2.8224;2.5497;2.7649;4.2936;1.3369;3.8116;4.8073;0.1337;3.4633;0.1680;0.5752;3.1001;0.4380;0.4188;0.5776;0.9177;2.1953;0.6821;1.0226;0.5550;0.0717;0.1955;0.2691;1.0093;0.9137;0.0557;2.6521;5.2942;0.3336;0.5536;5.2096;9;009/A/NBP/2019;
20190115;0.1177;3.7542;2.7028;0.4786;2.8284;2.5609;2.7736;4.2922;1.3338;3.8111;4.8300;0.1332;3.4577;0.1679;0.5750;3.0991;0.4388;0.4191;0.5779;0.9163;2.1946;0.6913;1.0243;0.5571;0.0721;0.1976;0.2717;1.0147;0.9144;0.0559;2.6634;5.2827;0.3346;0.5556;5.2293;10;010/A/NBP/2019;
